id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
40538,14878,3421.0,23-34,M,3744.0,4561.0,5372.0,3491
40539,10869,447.0,16-19,M,3787.0,4547.0,5305.0,3290
40540,31245,6791.0,35-44,M,5103.0,6192.0,7221.0,4806
40541,9078,323.0,20-22,M,3621.0,4345.0,5072.0,3181
40542,17977,3982.0,23-34,M,4417.0,5331.0,6202.0,3647
40543,31945,5519.0,45-54,M,3082.0,4268.0,5427.0,4930
40544,14545,3883.0,35-44,M,2833.0,3684.0,4503.0,3475
40546,21926,1376.0,55+,M,492.0,2070.0,,3901
40547,14561,3340.0,23-34,M,1014.0,1836.0,2654.0,3475
40548,2810,981.0,35-44,M,749.0,1392.0,2035.0,2734
40550,16078,4189.0,35-44,M,,4971.0,5854.0,3550
40552,30682,5389.0,45-54,M,2841.0,3912.0,5153.0,4724
40553,15115,3985.0,35-44,M,2704.0,3577.0,4369.0,3504
40554,19976,4910.0,35-44,M,948.0,1778.0,2760.0,3771
40555,30462,5738.0,23-34,M,4608.0,5675.0,6698.0,4692
40556,21801,1367.0,55+,M,1158.0,2122.0,3014.0,3894
40557,31036,5797.0,23-34,M,4570.0,5649.0,6708.0,4780
40559,12360,2890.0,23-34,M,3681.0,4475.0,5246.0,3364
40560,4844,1029.0,45-54,M,874.0,1584.0,2250.0,2910
40561,7456,2316.0,35-44,M,,1904.0,2617.0,3077
40562,18091,4559.0,35-44,M,2874.0,3787.0,4649.0,3654
40564,6692,2115.0,35-44,M,767.0,1535.0,2245.0,3028
40565,5097,1354.0,23-34,M,1639.0,2339.0,3038.0,2928
40566,28283,6311.0,35-44,M,3851.0,4924.0,5980.0,4421
40567,29512,6506.0,35-44,M,,2608.0,3629.0,4555
40568,8960,2218.0,23-34,M,790.0,1526.0,2281.0,3175
40569,5084,1673.0,35-44,M,843.0,1543.0,2220.0,2927
40570,32187,5920.0,23-34,M,4002.0,5210.0,6389.0,4979
40571,26637,904.0,16-19,M,1370.0,2419.0,3405.0,4261
40572,21905,5261.0,35-44,M,4617.0,5530.0,6414.0,3900
40573,4958,1643.0,35-44,M,2570.0,3284.0,3965.0,2918
40574,18830,4695.0,35-44,M,4461.0,5361.0,6202.0,3700
40576,1852,378.0,45-54,M,3480.0,4087.0,4702.0,2625
40578,16690,3758.0,23-34,M,4088.0,4925.0,5762.0,3580
40579,16704,3761.0,23-34,M,4087.0,4925.0,5762.0,3580
40580,7476,1580.0,45-54,M,893.0,1625.0,2344.0,3078
40581,713,199.0,23-34,M,630.0,1210.0,1776.0,2415
40582,1731,351.0,45-54,M,636.0,1253.0,1876.0,2607
40583,21885,5257.0,35-44,M,4566.0,5470.0,6380.0,3899
40584,32254,5928.0,23-34,M,4762.0,5855.0,6969.0,4991
40585,13535,2805.0,45-54,M,2063.0,2845.0,3618.0,3423
40586,19177,4763.0,35-44,M,1124.0,1952.0,2836.0,3721
40618,6292,2009.0,35-44,M,3544.0,4249.0,4955.0,3000
40619,25013,5028.0,23-34,M,4407.0,5394.0,6381.0,4126
40620,14521,3331.0,23-34,M,1945.0,2764.0,3583.0,3473
40621,1304,51.0,20-22,M,602.0,1209.0,1810.0,2534
40622,21910,5263.0,35-44,M,4568.0,5470.0,6380.0,3900
40623,14228,3807.0,35-44,M,885.0,1748.0,2552.0,3460
40625,14666,2983.0,45-54,M,1985.0,2801.0,3614.0,3481
40626,5080,1073.0,45-54,M,892.0,1588.0,2264.0,2927
40627,3531,134.0,55+,M,1620.0,2299.0,2959.0,2806
40628,2102,767.0,35-44,M,715.0,1362.0,1978.0,2657
40630,31116,5805.0,23-34,M,4703.0,5776.0,6832.0,4788
40631,6827,1766.0,23-34,M,1647.0,2371.0,3116.0,3036
40632,9904,2396.0,23-34,M,1804.0,2571.0,3341.0,3234
40633,12232,3397.0,35-44,M,1836.0,2623.0,3424.0,3357
40634,8758,449.0,55+,M,882.0,1650.0,2405.0,3164
40635,8138,2059.0,23-34,M,3844.0,4596.0,5318.0,3124
40636,4666,176.0,20-22,M,915.0,1619.0,2286.0,2896
40637,14256,2918.0,45-54,M,901.0,1738.0,2555.0,3461
40638,25816,5918.0,35-44,M,4640.0,5615.0,6571.0,4192
40639,1062,394.0,35-44,M,657.0,1252.0,1834.0,2488
